Fish farm name,Operator,Number of seals shot,Address,Lat,Long
"East Voe Laxfirth, Shetland",Hjaltland/Grieg,24,"Wadbister Shore Base, Wadbister, Girlsta, Shetland, UK, ZE2 9SQ",60.21567193,-1.19155874
"Veantrow Bay, Shapinsay, Orkney",Scottish Sea Farms Ltd,13,"Office 3 Terminal Building, Old Kirkwall Pier, Kirkwall Orkney, KW15 1HU",59.07570356,-2.87218868
"West of Balta Island, Shetland",Balta Island Seafare Ltd,7,"Janefield, Baltasound, Unst Shetland, ZE2 9DX",60.7496269,-0.7947373643
"South Voe of Gletness, Shetland",Hjaltland/Grieg,6,"Wadbister Shore Base, Wadbister, Girlsta, Shetland, UK, ZE2 9SQ",60.23792583,-1.160311183
"Bellister, Shetland",Scottish Sea Farms Ltd,6,"Dury Voe, North Nesting, Shetland",60.32826948,-1.107288792
"Gometra, Isle of Mull, Argyll & Bute",The Scottish Salmon Company,5,"Ulva Ferry, Isle of Mull, Argyll, PA73 6LY",56.49944241,-6.289839027
"Loura Voe, Shetland",Scottish Sea Farms Ltd,5,"Laxo, Vidlin, Shetland, ZE2 9QD",60.33479185,-1.143335046
"Taranaish, Loch Roag, Isle of Lewis",The Scottish Salmon Company,5,"East Loch Roag, Breasclete Pier, Breasclete, Isle of Lewis, HS2  9DY",58.23272247,-6.81120687
"West Voe, Shetland",Bound Skerries Seafoods Ltd,5,"West Voe, Out Skerries, Shetland, ZE2 9AS",60.42440733,-0.7759141603
"Grunna Voe, Shetland",Scottish Sea Farms Ltd,4,,,
Ardchattan Bay,Dawnfresh Farming Ltd,4,"Inverawe, Taynuilt, Argyll, PA35 1HU",56.46072333,-5.291520321
Toyness,Scottish Sea Farms Ltd,4,"Scapa Offices, Scapa, Kirkwall, KW15 1SD",58.91570167,-3.123402189
Rubha Stillaig,The Scottish Salmon Company,3,"Portavadie Fish Farm, Millhouse Tignabruaich, Argyll, PA21 2DA",55.86218733,-5.317408778
Trilleachan Mor,The Scottish Salmon Company,3,"Ardvourlie, Loch Seaforth, Scaladale, Isle of Harris, HS3 3AA",57.96706529,-6.723008213
